BaseId,x,z,DistFromCtr,Theta,ChannelStart,PathId
295,-758.2944,758.1078,1072.258,45.00705,43,9
296,692.4225,825.8584,1077.725,39.9774,232,18
297,-1071.143,-141.5963,1080.461,97.53037,169,14
298,887.7184,-620.7069,1083.199,124.9619,358,35
299,-235.8898,1060.01,1085.939,12.54593,64,3
300,-543.4568,-943.3351,1088.681,150.0537,358,21
301,1040.557,329.3141,1091.425,72.43855,295,31
302,-992.2131,461.2177,1094.17,65.06924,85,11
303,421.1339,-1012.855,1096.918,157.423,64,26
304,374.5789,1033.905,1099.667,19.91523,169,6
305,-977.0336,-510.619,1102.418,117.5926,253,16
306,1068.013,-284.1699,1105.172,104.8997,190,34
307,-597.0505,933.2913,1107.927,32.60809,295,1
308,-190.6559,-1094.198,1110.684,170.1159,211,23
309,881.889,679.7257,1113.443,52.37637,274,19
310,-1112.177,94.73295,1116.204,85.13142,148,13
311,757.9651,-823.15,1118.967,137.3608,106,28
312,-757.4588,-831.1162,1124.499,137.6547,295,8
313,1122.695,101.4325,1127.268,84.83749,274,32
314,-898.5609,685.2567,1130.039,52.67029,64,10
315,200.1766,-1114.985,1132.812,169.8219,85,25
316,607.0413,959.7181,1135.587,32.31419,190,7
317,-1098.573,-298.344,1138.364,105.1936,232,15
318,1014.052,-523.3607,1141.143,117.2986,169,29
319,-395.1663,1073.502,1143.924,20.20914,64,2
320,-434.8122,-1061.073,1146.708,157.7169,316,22
321,1039.882,489.8786,1149.493,64.77531,274,30
322,-1100.346,342.0361,1152.281,72.73245,127,12
323,581.7242,-997.89,1155.07,149.7598,106,27
324,245.7119,1131.49,1157.862,12.252,148,5
325,-947.7723,-669.9624,1160.656,125.2558,316,17
326,1154.185,-146.5535,1163.452,97.23645,232,33
327,-753.873,889.8392,1166.25,40.27132,64,9
328,-45.30353,-1168.172,1169.05,177.7791,106,24
329,824.4657,832.7631,1171.852,44.71313,253,18
330,-1173.26,-57.27192,1174.657,92.79464,190,14
331,905.9716,-752.0878,1177.464,129.6976,379,35
332,-160.3892,1169.324,1180.272,7.810173,85,3
333,-673.2003,-972.876,1183.083,145.318,379,21
334,1156.308,263.2528,1185.897,77.17427,316,31
335,-1032.897,588.3539,1188.712,60.33349,106,11
336,365.0622,-1134.228,1191.53,162.1587,85,26
337,498.1504,1085.503,1194.35,24.65095,190,6
338,-1103.168,-465.0169,1197.172,112.8568,274,16
339,1130.216,-403.2391,1199.996,109.6354,211,34
340,-562.3239,1063.285,1202.823,27.87237,316,1
341,-304.3123,-1166.615,1205.651,165.3801,232,23
342,1014.805,656.2028,1208.483,57.11209,295,19
343,-1194.338,202.0996,1211.316,80.39568,169,13
344,745.8931,-958.0227,1214.152,142.0965,127,28
345,97.36354,1213.089,1216.99,4.588768,127,4
346,-893.3024,-830.6599,1219.83,132.919,316,8
347,1222.639,9.107087,1222.672,89.57323,295,32
348,-909.7994,821.071,1225.517,47.93454,85,10
349,116.5025,-1222.827,1228.365,174.5577,106,25
350,741.8195,982.6454,1231.214,37.04991,211,7
351,-1213.566,-223.9981,1234.066,100.4579,253,15
352,1048.574,-656.0967,1236.92,122.0344,190,29
353,-330.7613,1194.84,1239.777,15.47341,85,2
354,-564.5084,-1107.011,1242.635,152.9812,337,22
355,1166.706,435.9572,1245.497,69.51105,295,30
356,-1157.433,467.7102,1248.36,67.99673,148,12
357,538.7554,-1129.296,1251.226,154.4955,127,27
358,366.405,1199.375,1254.095,16.98772,169,5
359,-1082.815,-638.3371,1256.966,120.52,337,17
360,1232.435,-261.3369,1259.839,101.9722,253,33
361,-733.9003,1027.54,1262.714,35.53558,85,9
362,-153.2863,-1256.276,1265.593,173.0434,127,24
363,963.819,824.6678,1268.473,49.44887,274,18
364,-1270.627,43.06338,1271.356,88.05891,211,14
365,909.8922,-892.0693,1274.242,134.4333,400,35
366,-68.49699,1275.291,1277.129,3.074407,106,3
367,-812.7744,-988.8621,1280.02,140.5822,400,21
368,1270.145,180.5422,1282.912,81.91,337,31
369,-1060.909,726.4802,1285.808,55.59777,127,11
370,292.2082,-1255.14,1288.705,166.8945,106,26
371,633.7926,1125.412,1291.606,29.38668,211,6
372,-1230.303,-402.6261,1294.509,108.1211,295,16
373,1181.803,-535.3721,1297.414,114.3711,232,34
374,-510.9289,1195.737,1300.321,23.13663,337,1
375,-431.9302,-1229.573,1303.232,160.6444,253,23
376,1151.625,616.2587,1306.145,61.84783,316,19
377,-1268.273,324.2231,1309.06,75.65995,190,13
378,717.7723,-1098.221,1311.978,146.8323,148,28
379,213.0476,1297.524,1314.899,9.324513,148,4
380,-1035.857,-814.6494,1317.821,128.1833,337,8
381,1317.014,-99.23388,1320.747,94.30896,316,32
382,-906.0981,964.9366,1323.675,43.19881,106,10
383,16.35962,-1326.505,1326.606,179.2934,127,25
384,885.933,991.3618,1329.54,41.78565,232,7
385,-1325.836,-132.8532,1332.475,95.72213,274,15
386,1069.725,-799.3863,1335.414,126.7701,211,29
387,-249.3526,1314.921,1338.355,10.73768,106,2
388,-705.9008,-1140.521,1341.299,148.2455,358,22
389,1293.756,364.9554,1344.246,74.24678,316,30
390,-1203.133,606.1394,1347.194,63.26099,169,12
391,478.7581,-1262.412,1350.146,159.2312,148,27
392,500.8192,1257.005,1353.1,21.72346,190,5
393,-1221.046,-589.8641,1356.057,115.7843,358,17
394,1301.643,-390.7077,1359.017,106.7079,274,33
395,-697.3891,1169.888,1361.98,30.79986,106,9
396,-276.6154,-1336.622,1364.945,168.3076,148,24
397,1109.249,800.4691,1367.912,54.18459,295,18
398,-1361.595,159.3081,1370.883,83.32667,232,14
399,898.2672,-1039.517,1373.856,139.1691,421,35
400,39.83138,1376.255,1376.831,1.657766,127,3
401,-961.1526,-989.9808,1379.81,135.8465,421,21
402,1380.417,80.99073,1382.791,86.64224,358,31
403,-1074.847,874.6876,1385.776,50.86204,148,11
404,202.2345,-1373.958,1388.762,171.6267,127,26
405,780.721,1152.149,1391.752,34.12242,232,6
406,-1356.836,-322.9649,1394.744,103.3889,316,16
407,1221.224,-679.9162,1397.739,119.1069,253,34
408,-442.2431,1329.091,1400.736,18.4044,358,1
409,-572.9946,-1281.466,1403.737,155.9087,274,23
410,1290.848,559.1334,1406.74,66.58006,337,19
411,-1332.333,460.7311,1409.746,70.92422,211,13
412,672.7103,-1242.312,1412.755,151.5645,169,28
413,343.949,1373.352,1415.767,14.06025,169,4
414,-1183.771,-782.0664,1418.781,123.451,358,8
415,1404.12,-223.5136,1421.798,99.04469,337,32
416,1068.51,-46.6656,1069.528,92.50072,211,33
417,-1023.372,2.372952,1023.374,89.86715,127,13
418,47.16833,-1073.956,1074.991,177.4852,85,24
419,-2.877141,1121.729,1121.732,0.1467098,106,4
