StalkId,PlantId,x,z,ChannelStart,Universe,IPAddress,StemIndex
283,40,-154.0753,271.3307,220,4,192.168.0.222,3
284,40,-150.7175,264.2632,223,4,192.168.0.222,4
285,40,-157.2044,261.427,226,4,192.168.0.222,5
286,40,-161.7931,264.2334,229,4,192.168.0.222,6
287,41,-65.64535,-305.4846,22,3,192.168.0.226,0
288,41,-65.28687,-303.8152,25,3,192.168.0.226,1
289,41,-67.05276,-308.8558,28,3,192.168.0.226,2
290,41,-70.34016,-307.2754,31,3,192.168.0.226,3
291,41,-68.04218,-299.7959,34,3,192.168.0.226,4
292,41,-61.34313,-302.0863,37,3,192.168.0.226,5
293,41,-59.85513,-307.2553,40,3,192.168.0.226,6
294,42,257.3381,182.7457,379,3,192.168.0.221,0
295,42,255.9461,181.757,382,3,192.168.0.221,1
296,42,260.6531,184.2809,385,3,192.168.0.221,2
297,42,262.0096,180.8949,388,3,192.168.0.221,3
298,42,255.2628,176.932,391,3,192.168.0.221,4
299,42,251.8703,183.1461,394,3,192.168.0.221,5
300,42,254.2647,187.9627,397,3,192.168.0.221,6
301,43,-316.307,39.466,274,1,192.168.0.222,0
302,43,-314.6127,39.25484,277,1,192.168.0.222,1
303,43,-319.7884,40.57329,280,1,192.168.0.222,2
304,43,-318.5014,43.98627,283,1,192.168.0.222,3
305,43,-310.8496,42.35099,286,1,192.168.0.222,4
306,43,-312.5457,35.47734,289,1,192.168.0.222,5
307,43,-317.5648,33.54314,292,1,192.168.0.222,6
308,44,208.5882,-245.1272,85,4,192.168.0.225,0
309,44,207.4815,-243.827,88,4,192.168.0.225,1
310,44,210.4073,-248.2953,91,4,192.168.0.225,2
311,44,207.1529,-249.9426,94,4,192.168.0.225,3
312,44,202.6153,-243.5681,97,4,192.168.0.225,4
313,44,208.509,-239.6454,100,4,192.168.0.225,5
314,44,213.5165,-241.6095,103,4,192.168.0.225,6
315,45,11.88907,324.721,22,2,192.168.0.223,0
316,45,11.82684,323.0148,25,2,192.168.0.223,1
317,45,12.68779,328.2858,28,2,192.168.0.223,2
318,45,16.20021,327.3022,31,2,192.168.0.223,3
319,45,15.2401,319.5367,34,2,192.168.0.223,4
320,45,8.244511,320.6253,37,2,192.168.0.223,5
321,45,5.878946,325.4562,40,2,192.168.0.223,6
322,46,-230.2504,-233.5776,337,1,192.168.0.224,0
323,46,-229.0519,-232.3615,340,1,192.168.0.224,1
324,46,-233.2473,-235.6667,343,1,192.168.0.224,2
325,46,-235.1728,-232.5687,346,1,192.168.0.224,3
326,46,-229.2194,-227.4913,349,1,192.168.0.224,4
327,46,-224.7964,-233.0195,352,1,192.168.0.224,5
328,46,-226.3153,-238.1795,355,1,192.168.0.224,6
329,47,330.5726,16.8551,148,1,192.168.0.225,0
330,47,328.8674,16.76792,151,1,192.168.0.225,1
331,47,334.1936,16.37109,154,1,192.168.0.225,2
332,47,333.5208,12.78612,157,1,192.168.0.225,3
333,47,325.7011,13.06366,160,1,192.168.0.225,4
334,47,326.174,20.12764,163,1,192.168.0.225,5
335,47,330.7795,22.90648,166,1,192.168.0.225,6
336,48,-257.448,212.771,85,3,192.168.0.222,0
337,48,-256.1318,211.6834,88,3,192.168.0.222,1
338,48,-259.7911,215.5738,91,3,192.168.0.222,2
339,48,-256.8734,217.7628,94,3,192.168.0.222,3
340,48,-251.2949,212.2761,97,3,192.168.0.222,4
341,48,-256.4151,207.3867,100,3,192.168.0.222,5
342,48,-261.6882,208.4486,103,3,192.168.0.222,6
343,49,46.51392,-333.7304,400,2,192.168.0.226,0
344,49,46.27801,-332.0393,403,2,192.168.0.226,1
345,49,46.34835,-337.3798,406,2,192.168.0.226,2
346,49,42.71828,-337.0229,409,2,192.168.0.226,3
347,49,42.3111,-329.209,412,2,192.168.0.226,4
348,49,49.38938,-329.0625,415,2,192.168.0.226,5
349,49,52.56023,-333.4074,418,2,192.168.0.226,6
350,50,192.7999,279.9219,211,2,192.168.0.221,0
351,50,191.8316,278.5157,214,2,192.168.0.221,1
352,50,195.3871,282.5011,217,2,192.168.0.221,2
353,50,197.8228,279.7859,220,2,192.168.0.221,3
354,50,192.8448,273.7491,223,2,192.168.0.221,4
355,50,187.5265,278.4223,226,2,192.168.0.221,5
356,50,188.1234,283.768,229,2,192.168.0.221,6
357,51,-334.0877,-76.82445,127,3,192.168.0.224,0
358,51,-332.4238,-76.4416,130,3,192.168.0.224,1
359,51,-337.7376,-76.97856,133,3,192.168.0.224,2
360,51,-337.6996,-73.3312,136,3,192.168.0.224,3
361,51,-329.9511,-72.24244,139,3,192.168.0.224,4
362,51,-329.1863,-79.28081,142,3,192.168.0.224,5
363,51,-333.2374,-82.81937,145,3,192.168.0.224,6
364,52,300.7529,-170.4487,463,3,192.168.0.225,0
365,52,299.2674,-169.607,466,3,192.168.0.225,1
366,52,303.5484,-172.8005,469,3,192.168.0.225,2
367,52,301.0565,-175.4642,472,3,192.168.0.225,3
368,52,294.6076,-171.0331,475,3,192.168.0.225,4
369,52,298.798,-165.3266,478,3,192.168.0.225,5
370,52,304.1754,-165.4538,481,3,192.168.0.225,6
371,53,-107.5133,331.5636,400,1,192.168.0.223,0
372,53,-106.9864,329.9395,403,1,192.168.0.223,1
373,53,-107.9859,335.1861,406,1,192.168.0.223,2
374,53,-104.3491,335.467,409,1,192.168.0.223,3
375,53,-102.5871,327.8434,412,1,192.168.0.223,4
376,53,-109.5317,326.4662,415,1,192.168.0.223,5
377,53,-113.4109,330.1924,418,1,192.168.0.223,6
378,54,-145.8699,-319.6934,190,4,192.168.0.226,0
379,54,-145.1614,-318.14,193,4,192.168.0.226,1
