BaseId,x,z,DistFromCtr,Theta,ChannelStart,PathId,NearestTheta5,DistFromCenterOnTheta5,DistFromTheta5
41,-286.1164,455.8268,538.1827,327.8841,463,Path6,330,537.8158,-19.87065
42,-380.5526,380.5526,538.1827,315,442,Path6,315,538.1827,0
43,-455.8268,286.1164,538.1827,302.116,421,Path6,300,537.8158,19.87065
44,-508.1484,177.2731,538.1827,289.2319,400,Path6,290,538.1343,-7.214826
45,-534.8831,59.50357,538.1827,276.3478,379,Path6,275,538.0337,12.65894
46,-534.8831,-59.50367,538.1827,263.6522,64,Path13,265,538.0338,-12.65907
47,-508.1484,-177.2732,538.1827,250.7681,85,Path13,250,538.1343,7.214644
48,-455.8267,-286.1165,538.1827,237.884,106,Path13,240,537.8157,-19.87078
49,-380.5526,-380.5527,538.1827,225,127,Path13,225,538.1827,-0.0001100327
50,-286.1163,-455.8268,538.1827,212.1159,148,Path13,210,537.8157,19.87065
51,-177.273,-508.1485,538.1827,199.2319,169,Path13,200,538.1343,-7.214822
52,-59.50349,-534.8831,538.1826,186.3478,190,Path13,185,538.0336,12.65895
53,59.50375,-534.8831,538.1827,173.6522,64,Path27,175,538.0338,-12.6592
54,177.2733,-508.1484,538.1827,160.7681,43,Path27,160,538.1343,7.214572
55,286.1165,-455.8267,538.1827,147.884,22,Path27,150,537.8157,-19.87088
56,380.5528,-380.5525,538.1827,135,1,Path27,135,538.1827,-0.0003021086
57,455.8269,-286.1162,538.1827,122.1159,484,Path27,120,537.8158,19.87038
58,508.1486,-177.2729,538.1827,109.2319,463,Path27,110,538.1344,-7.215097
59,534.8831,-59.5034,538.1827,96.34781,442,Path27,95,538.0338,12.65868
60,655.0239,59.54385,657.7247,84.80591,232,Path19,85,657.7209,-2.228184
61,630.4199,187.5436,657.7247,73.4328,211,Path19,75,657.4787,-17.98852
62,581.0577,308.1781,657.7247,62.05966,190,Path19,60,657.2998,23.6388
63,508.8761,416.7097,657.7248,50.68655,169,Path19,50,657.6776,7.881151
64,416.7097,508.8761,657.7247,39.31345,148,Path19,40,657.6775,-7.881124
65,308.1782,581.0577,657.7247,27.94034,127,Path19,30,657.2998,-23.63869
66,187.5437,630.4198,657.7247,16.56723,106,Path19,15,657.4786,17.98859
67,59.54396,655.0239,657.7247,5.194122,85,Path19,5,657.7209,2.228242
68,-59.54379,655.0239,657.7247,354.8059,211,Path5,355,657.7209,-2.228096
69,-187.5435,630.4199,657.7247,343.4328,232,Path5,345,657.4786,-17.98846
70,-308.178,581.0578,657.7248,332.0597,253,Path5,330,657.2998,23.63894
71,-416.7096,508.8762,657.7247,320.6866,274,Path5,320,657.6775,7.881253
72,-508.876,416.7098,657.7247,309.3135,295,Path5,310,657.6776,-7.880956
73,-581.0576,308.1783,657.7247,297.9404,316,Path5,300,657.2998,-23.63863
74,-630.4198,187.5438,657.7247,286.5673,337,Path5,285,657.4787,17.9887
75,-655.0239,59.54408,657.7247,275.1941,358,Path5,275,657.7209,2.228315
76,-655.0239,-59.54358,657.7247,264.8059,43,Path12,265,657.7208,-2.227854
77,-630.42,-187.5433,657.7247,253.4328,22,Path12,255,657.4787,-17.98822
78,-581.0579,-308.1778,657.7248,242.0597,1,Path12,240,657.2998,23.6391
79,-508.8763,-416.7094,657.7247,230.6866,484,Path12,230,657.6775,7.881386
80,-416.71,-508.8759,657.7248,219.3135,463,Path12,220,657.6776,-7.880631
81,-308.1784,-581.0576,657.7248,207.9404,442,Path12,210,657.2998,-23.63842
82,-187.544,-630.4198,657.7248,196.5672,421,Path12,195,657.4786,17.98899
83,-59.54429,-655.0239,657.7247,185.1942,400,Path12,185,657.7208,2.228635
84,59.54337,-655.0239,657.7247,174.8059,274,Path26,175,657.7208,-2.227698
85,187.5431,-630.42,657.7247,163.4328,295,Path26,165,657.4786,-17.98803
86,308.1776,-581.058,657.7247,152.0597,316,Path26,150,657.2999,23.63929
87,416.7092,-508.8764,657.7247,140.6866,337,Path26,140,657.6774,7.881597
88,508.8757,-416.7101,657.7247,129.3135,358,Path26,130,657.6775,-7.880628
89,581.0574,-308.1786,657.7247,117.9404,379,Path26,120,657.2998,-23.63833
90,630.4197,-187.5442,657.7247,106.5673,400,Path26,105,657.4787,17.98901
91,655.0239,-59.5445,657.7247,95.19415,421,Path26,95,657.7209,2.228632
92,774.9809,59.56702,777.2668,85.60474,379,Path19,85,777.2235,8.203685
93,756.048,180.3746,777.2668,76.58148,400,Path19,75,776.9706,21.4512
94,718.4025,296.7177,777.2667,67.55817,421,Path19,70,776.561,-33.11535
95,662.9763,405.7169,777.2668,58.53491,442,Path19,60,777.0127,-19.87297
96,591.1408,504.6744,777.2668,49.51163,463,Path19,50,777.2385,-6.625017
97,504.6744,591.1408,777.2668,40.48837,484,Path19,40,777.2386,6.624986
98,405.7169,662.9763,777.2668,31.46509,1,Path19,30,777.0128,19.87303
99,296.7177,718.4025,777.2668,22.44183,22,Path19,20,776.561,33.11533
100,180.3746,756.048,777.2668,13.41855,43,Path19,15,776.9707,-21.4512
101,59.56711,774.9809,777.2668,4.395264,64,Path19,5,777.2235,-8.203647
102,-59.5669,774.9809,777.2668,355.6047,190,Path5,355,777.2234,8.203827
103,-180.3744,756.0482,777.2668,346.5815,169,Path5,345,776.9707,21.45138
104,-296.7175,718.4028,777.2669,337.5582,148,Path5,340,776.561,-33.11506
105,-405.7168,662.9763,777.2667,328.5349,127,Path5,330,777.0126,-19.87283
106,-504.6743,591.1408,777.2668,319.5117,106,Path5,320,777.2386,-6.624962
107,-591.1409,504.6743,777.2669,310.4883,85,Path5,310,777.2387,6.624916
108,-662.9763,405.7168,777.2667,301.4651,64,Path5,300,777.0126,19.87283
109,-718.4028,296.7175,777.2669,292.4418,43,Path5,290,776.5612,33.11497
110,-756.0482,180.3743,777.2669,283.4185,22,Path5,285,776.9708,-21.45154
111,-774.9809,59.56671,777.2667,274.3952,1,Path5,275,777.2234,-8.204108
112,-774.9809,-59.56739,777.2668,265.6047,190,Path12,265,777.2235,8.203369
113,-756.048,-180.375,777.2668,256.5814,211,Path12,255,776.9708,21.45078
114,-718.4025,-296.7181,777.267,247.5582,232,Path12,250,776.5612,-33.11568
115,-662.976,-405.7174,777.2668,238.5349,253,Path12,240,777.0128,-19.87363
116,-591.1404,-504.6749,777.2668,229.5116,274,Path12,230,777.2386,-6.625681
117,-504.674,-591.1412,777.2668,220.4883,295,Path12,220,777.2386,6.624493
118,-405.7164,-662.9766,777.2668,211.465,316,Path12,210,777.0127,19.87248
119,-296.7171,-718.4028,777.2668,202.4418,337,Path12,200,776.5611,33.11466
120,-180.3738,-756.0483,777.2668,193.4185,358,Path12,195,776.9708,-21.45191
121,-59.56622,-774.9811,777.2669,184.3952,379,Path12,185,777.2236,-8.204486
122,59.56771,-774.9809,777.2668,175.6047,253,Path26,175,777.2236,8.203003
123,180.3753,-756.048,777.2669,166.5814,232,Path26,165,776.9708,21.45044
124,296.7185,-718.4022,777.2668,157.5581,211,Path26,160,776.561,-33.11617
125,405.7176,-662.9758,777.2668,148.5349,190,Path26,150,777.0126,-19.87395
