BaseId,x,z,DistFromCtr,Theta,ChannelStart,Id,NearestTheta5,DistFromCenterOnTheta5,DistFromTheta5
  8,192.168.0.222,1,64,328,329,10.28908
  8,192.168.0.222,1,64,329,330,10.28908
  8,192.168.0.222,1,64,330,331,10.28907
  9,192.168.0.222,2,400,256,257,10.66746
  9,192.168.0.222,2,400,257,258,10.66746
  9,192.168.0.222,2,400,258,259,10.66746
  9,192.168.0.222,2,400,259,260,10.66745
  9,192.168.0.222,2,400,260,261,10.66747
  9,192.168.0.222,2,400,261,262,10.66746
  9,192.168.0.222,2,400,262,263,10.66745
  9,192.168.0.222,2,400,263,264,10.66747
  9,192.168.0.222,2,400,264,265,10.66746
  9,192.168.0.222,2,400,265,266,10.66745
  9,192.168.0.222,2,400,266,267,10.66746
  9,192.168.0.222,2,400,267,268,10.66746
  9,192.168.0.222,2,400,268,269,10.66746
  10,192.168.0.222,3,190,202,203,10.25225
  10,192.168.0.222,3,190,203,204,10.25225
  10,192.168.0.222,3,190,204,205,10.25225
  10,192.168.0.222,3,190,205,206,10.25225
  10,192.168.0.222,3,190,206,207,10.25225
  10,192.168.0.222,3,190,207,208,10.25224
  10,192.168.0.222,3,190,208,209,10.25226
  10,192.168.0.222,3,190,209,210,10.25225
  10,192.168.0.222,3,190,210,211,10.25225
  10,192.168.0.222,3,190,211,212,10.25226
  10,192.168.0.222,3,190,212,213,10.25225
  10,192.168.0.222,3,190,213,214,10.25225
  11,192.168.0.222,4,463,154,155,10.73618
  11,192.168.0.222,4,463,155,156,10.73618
  11,192.168.0.222,4,463,156,157,10.73618
  11,192.168.0.222,4,463,157,158,10.73618
  11,192.168.0.222,4,463,158,159,10.73618
  11,192.168.0.222,4,463,159,160,10.73618
  11,192.168.0.222,4,463,160,161,10.7362
  11,192.168.0.222,4,463,161,162,10.73621
  11,192.168.0.222,4,463,162,163,10.73621
  11,192.168.0.222,4,463,163,164,10.7362
  12,192.168.0.223,1,190,112,113,10.19018
  12,192.168.0.223,1,190,113,114,10.19017
  12,192.168.0.223,1,190,114,115,10.19018
  12,192.168.0.223,1,190,115,116,10.19017
  12,192.168.0.223,1,190,116,117,10.19016
  12,192.168.0.223,1,190,117,118,10.19017
  12,192.168.0.223,1,190,118,119,10.19018
  12,192.168.0.223,1,190,119,120,10.19018
  12,192.168.0.223,1,190,120,121,10.19018
  12,192.168.0.223,1,190,121,83,9.996428
  12,192.168.0.223,1,190,83,82,10.86191
  12,192.168.0.223,1,190,82,81,10.86191
  12,192.168.0.223,1,190,81,80,10.86191
  12,192.168.0.223,1,190,80,79,10.86191
  12,192.168.0.223,1,190,79,78,10.86191
  12,192.168.0.223,1,190,78,77,10.86191
  12,192.168.0.223,1,190,77,76,10.86191
  13,192.168.0.223,2,64,46,47,10.06382
  13,192.168.0.223,2,64,47,48,10.06382
  13,192.168.0.223,2,64,48,49,10.06382
  13,192.168.0.223,2,64,49,50,10.06382
  13,192.168.0.223,2,64,50,51,10.06382
  13,192.168.0.223,2,64,51,52,10.06382
  13,192.168.0.223,2,64,52,26,10.04011
  13,192.168.0.223,2,64,26,25,11.16735
  13,192.168.0.223,2,64,25,24,11.16735
  13,192.168.0.223,2,64,24,23,11.16735
  13,192.168.0.223,2,64,23,22,11.16735
  13,192.168.0.223,2,64,22,6,10.10222
  13,192.168.0.223,2,64,6,7,14.39902
  13,192.168.0.223,2,64,7,8,14.39902
  14,192.168.0.224,1,379,348,349,9.999554
  14,192.168.0.224,1,379,349,350,9.999553
  14,192.168.0.224,1,379,350,351,9.999562
  14,192.168.0.224,1,379,351,352,9.999548
  14,192.168.0.224,1,379,352,353,9.999557
  14,192.168.0.224,1,379,353,354,9.999549
  14,192.168.0.224,1,379,354,355,9.99955
  14,192.168.0.224,1,379,355,356,9.999563
  14,192.168.0.224,1,379,356,357,9.999552
  14,192.168.0.224,1,379,357,358,9.999558
  14,192.168.0.224,1,379,358,359,9.999545
  14,192.168.0.224,1,379,359,360,9.999549
  14,192.168.0.224,1,379,360,361,9.999556
  14,192.168.0.224,1,379,361,362,9.999548
  14,192.168.0.224,1,379,362,363,9.999553
  14,192.168.0.224,1,379,363,364,9.999553
  14,192.168.0.224,1,379,364,365,9.999553
  15,192.168.0.224,2,253,284,285,10.28907
  15,192.168.0.224,2,253,285,286,10.28908
  15,192.168.0.224,2,253,286,287,10.28908
  15,192.168.0.224,2,253,287,288,10.28907
  15,192.168.0.224,2,253,288,289,10.28908
  15,192.168.0.224,2,253,289,290,10.28907
  15,192.168.0.224,2,253,290,291,10.28908
  15,192.168.0.224,2,253,291,292,10.28907
  15,192.168.0.224,2,253,292,293,10.28908
  15,192.168.0.224,2,253,293,294,10.28907
  15,192.168.0.224,2,253,294,295,10.28907
  15,192.168.0.224,2,253,295,296,10.28908
  15,192.168.0.224,2,253,296,297,10.28908
  15,192.168.0.224,2,253,297,298,10.28907
  15,192.168.0.224,2,253,298,299,10.28908
  16,192.168.0.224,3,85,228,229,10.66746
  16,192.168.0.224,3,85,229,230,10.66745
  16,192.168.0.224,3,85,230,231,10.66745
  16,192.168.0.224,3,85,231,232,10.66745
